x,y,z,t,c,intensity
297.0887,58.4943,4.9839,1,1,61169.7813
320.6831,67.7021,10.6245,1,1,63665.1328
316.5817,73.6488,13.6361,1,1,65535.0000
319.5423,52.5860,26.3103,1,1,65524.9531
330.1330,71.4422,26.4331,1,1,65533.4688
334.1871,71.1245,35.5402,1,1,65535.0000
189.3364,13.8779,42.3789,1,1,26065.0176
192.0737,12.7208,62.5280,1,1,40866.2734
216.0092,14.9447,58.4201,1,1,41272.6445
186.9888,14.6465,70.3921,1,1,41445.6406
165.8496,14.2924,74.9060,1,1,36695.2539
217.1594,9.7167,75.2097,1,1,31357.8477
219.9453,15.1318,75.0133,1,1,34641.3398
176.2719,18.1784,79.4707,1,1,35656.4844
204.1867,19.2501,79.4811,1,1,58631.2734
238.1452,31.3335,79.5101,1,1,50093.9609
264.1287,47.0948,82.8135,1,1,53666.4531
197.1286,21.3718,84.9191,1,1,30788.4219
208.8442,59.5344,93.5118,1,1,18316.3613
232.8758,34.8645,85.0470,1,1,39906.5078
270.6059,55.3587,85.7903,1,1,49862.0625
284.0672,27.1708,48.8058,1,1,52932.9063
295.8170,32.3323,43.2380,1,1,53080.5625
312.2478,41.9094,51.6300,1,1,49153.6250
282.9438,38.2693,72.3596,1,1,65535.0000
283.3510,37.3519,66.7763,1,1,65534.4453
305.3082,41.6832,57.2533,1,1,65195.3125
288.1465,42.1324,74.1181,1,1,65530.6172
325.3244,54.5591,50.2224,1,1,65531.2578
332.4031,74.1758,57.5403,1,1,44745.7617
312.4725,47.6365,61.2691,1,1,53671.6289
275.1587,49.4789,79.8937,1,1,59131.1484
285.0318,47.8156,77.7653,1,1,65450.3516
319.6672,62.2704,70.6236,1,1,65535.0000
300.3430,75.0086,4.4989,1,1,64837.9219
169.8494,79.3679,2.9286,1,1,65531.1875
186.1544,89.1323,2.7937,1,1,65535.0000
209.5615,104.3042,3.7542,1,1,60812.7813
172.8240,91.3136,4.7004,1,1,61937.8359
175.6542,103.6354,8.2060,1,1,62278.2852
184.3801,109.7542,8.8806,1,1,65524.3594
198.8672,111.3300,8.6773,1,1,65528.2344
217.8285,115.3783,8.5892,1,1,65522.5508
175.8309,110.3700,15.0431,1,1,52780.9531
176.8072,126.9994,31.3003,1,1,32342.3535
