x,y,z,t,c,intensity
174.2956,39.8831,65.6540,1,1,57621.0859
197.8495,41.8789,61.4894,1,1,57031.4805
201.8576,40.7239,71.7459,1,1,56516.7344
195.2787,16.0750,88.9797,1,1,65521.7109
198.7238,36.2859,73.5447,1,1,51694.0898
169.1515,42.6733,69.8247,1,1,63750.2383
185.9866,46.6013,76.5297,1,1,65528.4023
220.7357,56.6781,76.0198,1,1,60220.2500
246.9558,71.7904,77.6710,1,1,64465.7461
179.5833,48.9553,82.2360,1,1,49524.7344
192.4655,82.1301,88.7770,1,1,54219.0781
216.0107,59.8125,82.0319,1,1,56271.5938
251.5482,77.7301,82.7592,1,1,62585.6055
287.5889,63.8986,56.4843,1,1,65270.4063
294.5678,64.1068,49.8325,1,1,59524.8281
266.6751,54.5373,57.1362,1,1,61554.1523
264.1001,62.0457,68.4242,1,1,65535.0000
264.6199,61.3031,63.8529,1,1,65533.5977
269.9018,67.1031,70.2715,1,1,65530.2148
307.1592,76.0449,50.2075,1,1,65477.1758
313.9300,89.7865,56.3966,1,1,57506.8750
294.7851,71.2396,61.8434,1,1,63513.4531
256.6750,73.9859,74.6006,1,1,65383.4883
265.7093,71.9432,73.3132,1,1,65492.0547
300.1638,83.3013,67.6714,1,1,65534.9961
315.6859,90.6353,35.1273,1,1,65534.2383
168.3622,102.9506,3.9190,1,1,65535.0000
191.9566,116.7931,4.1733,1,1,59542.7656
170.8378,105.9174,4.7540,1,1,65535.0000
169.5049,103.6211,7.2158,1,1,65534.9258
181.0179,123.1800,8.5343,1,1,65534.3125
179.8954,124.0763,13.3116,1,1,65533.2148
221.9754,126.5432,5.6935,1,1,60784.2188
229.0745,126.3644,5.8087,1,1,61840.4297
199.4889,128.0896,13.3094,1,1,65525.1953
203.9873,135.5326,19.2364,1,1,49933.8242
214.9585,135.5120,18.6507,1,1,62397.9453
235.9255,133.6799,14.1748,1,1,50606.8828
282.6017,91.6540,4.2560,1,1,55123.5430
282.8486,99.5705,3.3237,1,1,52700.4531
294.4697,96.3472,5.4996,1,1,65508.5977
313.0792,101.5340,19.4739,1,1,63928.5820
319.8519,105.0713,34.8282,1,1,59974.3164
272.8849,106.6684,2.2752,1,1,65214.7188
277.5661,114.8114,4.5489,1,1,58754.1445
284.9126,106.8225,4.4462,1,1,51896.9688
296.7162,112.8161,10.1003,1,1,62546.0234
274.9759,146.0145,23.3985,1,1,65530.0195
286.1649,138.3525,23.8923,1,1,47203.3516
309.6946,125.5351,34.2770,1,1,45168.3438
214.8418,145.7770,36.5830,1,1,65530.0195
216.3043,118.9378,81.1225,1,1,65498.6133
234.7385,122.0260,77.2580,1,1,56138.8516
197.8368,117.3234,83.6467,1,1,56597.2695
175.8908,120.5015,85.4222,1,1,53864.3125
210.7221,102.7567,86.2181,1,1,61715.3633
195.7311,140.3896,66.5992,1,1,65531.4102
166.9559,141.6948,42.0878,1,1,53169.8398
216.0237,147.1195,42.6961,1,1,65528.7031
187.0455,143.1819,43.3361,1,1,62757.3164
192.4831,144.0363,48.7313,1,1,65485.3203
230.2451,147.8605,47.8086,1,1,58355.7188
241.9423,146.5193,55.7338,1,1,56686.7656
270.6443,135.8791,66.5018,1,1,48673.5859
298.0366,101.4973,69.7946,1,1,62048.7734
255.9759,133.0393,70.0521,1,1,58156.3633
270.5311,100.3324,77.5033,1,1,57562.9805
299.2100,108.2457,70.0530,1,1,65501.7109
299.5302,136.2719,49.2627,1,1,59728.9844
271.7116,147.3604,37.9943,1,1,65534.9844
292.3105,143.3614,40.1911,1,1,65485.0508
260.7363,148.1381,45.3482,1,1,63474.4141
258.5509,146.2204,50.7985,1,1,62056.0664
274.4288,146.1533,48.5652,1,1,64189.1328
276.2565,142.1548,55.9242,1,1,62672.7969
